state_id,state,district_id,district,discom_id,discom,consumer_category,band_type,hours,adjustment_type,value,applies_to,tariff_year,effective_from,official_source,data_status,notes
HP,Himachal Pradesh,HP_BILASPUR,Bilaspur,HP_HPSEBL,HPSEBL,Industrial,night_time_concession,NIGHT_HOURS_AS_DEFINED_BY_HPSEBL_BILLING_RULES,NIGHT_TIME_CONCESSION,SEE_APPLICABLE_HPSEBL_TARIFF_SCHEDULE,Qualifying industrial consumers,2026-27,2026-04-01,https://hperc.org/new1/File/tariff2025-26.pdf,VERIFIED_OFFICIAL_SOURCE,HPERC tariff material records a night-time concession for qualifying industrial consumers; the FY2025-26 order discusses continuation/withdrawal of the concession. No unsupported generic ToD slot rate is inserted.
HP,Himachal Pradesh,HP_CHAMBA,Chamba,HP_HPSEBL,HPSEBL,Industrial,night_time_concession,NIGHT_HOURS_AS_DEFINED_BY_HPSEBL_BILLING_RULES,NIGHT_TIME_CONCESSION,SEE_APPLICABLE_HPSEBL_TARIFF_SCHEDULE,Qualifying industrial consumers,2026-27,2026-04-01,https://hperc.org/new1/File/tariff2025-26.pdf,VERIFIED_OFFICIAL_SOURCE,HPERC tariff material records a night-time concession for qualifying industrial consumers; the FY2025-26 order discusses continuation/withdrawal of the concession. No unsupported generic ToD slot rate is inserted.
HP,Himachal Pradesh,HP_HAMIRPUR,Hamirpur,HP_HPSEBL,HPSEBL,Industrial,night_time_concession,NIGHT_HOURS_AS_DEFINED_BY_HPSEBL_BILLING_RULES,NIGHT_TIME_CONCESSION,SEE_APPLICABLE_HPSEBL_TARIFF_SCHEDULE,Qualifying industrial consumers,2026-27,2026-04-01,https://hperc.org/new1/File/tariff2025-26.pdf,VERIFIED_OFFICIAL_SOURCE,HPERC tariff material records a night-time concession for qualifying industrial consumers; the FY2025-26 order discusses continuation/withdrawal of the concession. No unsupported generic ToD slot rate is inserted.
HP,Himachal Pradesh,HP_KANGRA,Kangra,HP_HPSEBL,HPSEBL,Industrial,night_time_concession,NIGHT_HOURS_AS_DEFINED_BY_HPSEBL_BILLING_RULES,NIGHT_TIME_CONCESSION,SEE_APPLICABLE_HPSEBL_TARIFF_SCHEDULE,Qualifying industrial consumers,2026-27,2026-04-01,https://hperc.org/new1/File/tariff2025-26.pdf,VERIFIED_OFFICIAL_SOURCE,HPERC tariff material records a night-time concession for qualifying industrial consumers; the FY2025-26 order discusses continuation/withdrawal of the concession. No unsupported generic ToD slot rate is inserted.
HP,Himachal Pradesh,HP_KINNAUR,Kinnaur,HP_HPSEBL,HPSEBL,Industrial,night_time_concession,NIGHT_HOURS_AS_DEFINED_BY_HPSEBL_BILLING_RULES,NIGHT_TIME_CONCESSION,SEE_APPLICABLE_HPSEBL_TARIFF_SCHEDULE,Qualifying industrial consumers,2026-27,2026-04-01,https://hperc.org/new1/File/tariff2025-26.pdf,VERIFIED_OFFICIAL_SOURCE,HPERC tariff material records a night-time concession for qualifying industrial consumers; the FY2025-26 order discusses continuation/withdrawal of the concession. No unsupported generic ToD slot rate is inserted.
HP,Himachal Pradesh,HP_KULLU,Kullu,HP_HPSEBL,HPSEBL,Industrial,night_time_concession,NIGHT_HOURS_AS_DEFINED_BY_HPSEBL_BILLING_RULES,NIGHT_TIME_CONCESSION,SEE_APPLICABLE_HPSEBL_TARIFF_SCHEDULE,Qualifying industrial consumers,2026-27,2026-04-01,https://hperc.org/new1/File/tariff2025-26.pdf,VERIFIED_OFFICIAL_SOURCE,HPERC tariff material records a night-time concession for qualifying industrial consumers; the FY2025-26 order discusses continuation/withdrawal of the concession. No unsupported generic ToD slot rate is inserted.
HP,Himachal Pradesh,HP_LAHAUL_AND_SPITI,Lahaul and Spiti,HP_HPSEBL,HPSEBL,Industrial,night_time_concession,NIGHT_HOURS_AS_DEFINED_BY_HPSEBL_BILLING_RULES,NIGHT_TIME_CONCESSION,SEE_APPLICABLE_HPSEBL_TARIFF_SCHEDULE,Qualifying industrial consumers,2026-27,2026-04-01,https://hperc.org/new1/File/tariff2025-26.pdf,VERIFIED_OFFICIAL_SOURCE,HPERC tariff material records a night-time concession for qualifying industrial consumers; the FY2025-26 order discusses continuation/withdrawal of the concession. No unsupported generic ToD slot rate is inserted.
HP,Himachal Pradesh,HP_MANDI,Mandi,HP_HPSEBL,HPSEBL,Industrial,night_time_concession,NIGHT_HOURS_AS_DEFINED_BY_HPSEBL_BILLING_RULES,NIGHT_TIME_CONCESSION,SEE_APPLICABLE_HPSEBL_TARIFF_SCHEDULE,Qualifying industrial consumers,2026-27,2026-04-01,https://hperc.org/new1/File/tariff2025-26.pdf,VERIFIED_OFFICIAL_SOURCE,HPERC tariff material records a night-time concession for qualifying industrial consumers; the FY2025-26 order discusses continuation/withdrawal of the concession. No unsupported generic ToD slot rate is inserted.
HP,Himachal Pradesh,HP_SHIMLA,Shimla,HP_HPSEBL,HPSEBL,Industrial,night_time_concession,NIGHT_HOURS_AS_DEFINED_BY_HPSEBL_BILLING_RULES,NIGHT_TIME_CONCESSION,SEE_APPLICABLE_HPSEBL_TARIFF_SCHEDULE,Qualifying industrial consumers,2026-27,2026-04-01,https://hperc.org/new1/File/tariff2025-26.pdf,VERIFIED_OFFICIAL_SOURCE,HPERC tariff material records a night-time concession for qualifying industrial consumers; the FY2025-26 order discusses continuation/withdrawal of the concession. No unsupported generic ToD slot rate is inserted.
HP,Himachal Pradesh,HP_SIRMAUR,Sirmaur,HP_HPSEBL,HPSEBL,Industrial,night_time_concession,NIGHT_HOURS_AS_DEFINED_BY_HPSEBL_BILLING_RULES,NIGHT_TIME_CONCESSION,SEE_APPLICABLE_HPSEBL_TARIFF_SCHEDULE,Qualifying industrial consumers,2026-27,2026-04-01,https://hperc.org/new1/File/tariff2025-26.pdf,VERIFIED_OFFICIAL_SOURCE,HPERC tariff material records a night-time concession for qualifying industrial consumers; the FY2025-26 order discusses continuation/withdrawal of the concession. No unsupported generic ToD slot rate is inserted.
HP,Himachal Pradesh,HP_SOLAN,Solan,HP_HPSEBL,HPSEBL,Industrial,night_time_concession,NIGHT_HOURS_AS_DEFINED_BY_HPSEBL_BILLING_RULES,NIGHT_TIME_CONCESSION,SEE_APPLICABLE_HPSEBL_TARIFF_SCHEDULE,Qualifying industrial consumers,2026-27,2026-04-01,https://hperc.org/new1/File/tariff2025-26.pdf,VERIFIED_OFFICIAL_SOURCE,HPERC tariff material records a night-time concession for qualifying industrial consumers; the FY2025-26 order discusses continuation/withdrawal of the concession. No unsupported generic ToD slot rate is inserted.
HP,Himachal Pradesh,HP_UNA,Una,HP_HPSEBL,HPSEBL,Industrial,night_time_concession,NIGHT_HOURS_AS_DEFINED_BY_HPSEBL_BILLING_RULES,NIGHT_TIME_CONCESSION,SEE_APPLICABLE_HPSEBL_TARIFF_SCHEDULE,Qualifying industrial consumers,2026-27,2026-04-01,https://hperc.org/new1/File/tariff2025-26.pdf,VERIFIED_OFFICIAL_SOURCE,HPERC tariff material records a night-time concession for qualifying industrial consumers; the FY2025-26 order discusses continuation/withdrawal of the concession. No unsupported generic ToD slot rate is inserted.
PB,Punjab,PB_AMRITSAR,Amritsar,PB_PSPCL,PSPCL,Industrial,ToD,06:00-18:00; 18:00-22:00; 22:00-06:00,normal; peak surcharge; offpeak rebate,+20% peak; -0.50 Rs/kVAh offpeak (01-Apr to 15-Jun); +2.00 Rs/kVAh peak (16-Jun to 15-Oct); -1.00 Rs/kVAh offpeak (16-Oct to 31-Mar),All LS/MS consumers; current order also retains existing ToD for eligible NRS/BS >100 kVA,2026-27,2026-04-01,https://docs.pspcl.in/docs/cecommercial2620260316164758214.pdf,VERIFIED_OFFICIAL_SOURCE,PSERC FY2026-27 order continues existing ToD for NRS/BS consumers above 100 kVA and all LS/MS consumers; exact seasonal adjustments are from the official PSPCL/PSERC tariff material.
